transaction_date,month_name,month_id,day_name,day_number,transaction_count,product_sold,product_detail,product_type,product_category,store_location,time_bucket,total_revenue
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Ethiopia Rg,Gourmet brewed coffee,Coffee,Lower Manhattan,morning,12.00
2023-01-01,Jan,2023-Jan,Sun,1,4,4,Spicy Eye Opener Chai Lg,Brewed Chai tea,Tea,Lower Manhattan,morning,18.60
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Dark chocolate Lg,Hot chocolate,Drinking Chocolate,Lower Manhattan,morning,13.50
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Our Old Time Diner Blend Sm,Drip coffee,Coffee,Lower Manhattan,morning,4.00
2023-01-01,Jan,2023-Jan,Sun,1,3,3,Oatmeal Scone,Scone,Bakery,Lower Manhattan,morning,9.00
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Columbian Medium Roast Sm,Gourmet brewed coffee,Coffee,Lower Manhattan,morning,4.00
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Latte Rg,Barista Espresso,Coffee,Lower Manhattan,morning,4.25
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Dark chocolate Rg,Hot chocolate,Drinking Chocolate,Lower Manhattan,morning,14.00
2023-01-01,Jan,2023-Jan,Sun,1,5,5,Spicy Eye Opener Chai Rg,Brewed Chai tea,Tea,Lower Manhattan,morning,20.40
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Ethiopia Lg,Gourmet brewed coffee,Coffee,Lower Manhattan,morning,7.00
2023-01-01,Jan,2023-Jan,Sun,1,3,3,Earl Grey Lg,Brewed Black tea,Tea,Lower Manhattan,morning,15.00
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Ouro Brasileiro shot,Barista Espresso,Coffee,Lower Manhattan,morning,6.00
2023-01-01,Jan,2023-Jan,Sun,1,4,4,Serenity Green Tea Lg,Brewed Green tea,Tea,Lower Manhattan,morning,21.00
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Jumbo Savory Scone,Scone,Bakery,Lower Manhattan,morning,7.50
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Lemon Grass Rg,Brewed herbal tea,Tea,Hell's Kitchen,morning,2.50
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Dark chocolate Lg,Hot chocolate,Drinking Chocolate,Hell's Kitchen,morning,13.50
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Sustainably Grown Organic Lg,Hot chocolate,Drinking Chocolate,Hell's Kitchen,morning,4.75
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Ethiopia Lg,Gourmet brewed coffee,Coffee,Hell's Kitchen,morning,14.00
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Hazelnut Biscotti,Biscotti,Bakery,Lower Manhattan,morning,6.50
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Spicy Eye Opener Chai Rg,Brewed Chai tea,Tea,Hell's Kitchen,morning,7.65
2023-01-01,Jan,2023-Jan,Sun,1,5,5,Cappuccino,Barista Espresso,Coffee,Hell's Kitchen,morning,33.75
2023-01-01,Jan,2023-Jan,Sun,1,3,3,Lemon Grass Lg,Brewed herbal tea,Tea,Lower Manhattan,morning,15.00
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Chocolate Chip Biscotti,Biscotti,Bakery,Lower Manhattan,morning,7.00
2023-01-01,Jan,2023-Jan,Sun,1,3,3,Peppermint Lg,Brewed herbal tea,Tea,Lower Manhattan,morning,18.00
2023-01-01,Jan,2023-Jan,Sun,1,3,3,Chocolate Croissant,Pastry,Bakery,Lower Manhattan,morning,11.25
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Latte,Barista Espresso,Coffee,Hell's Kitchen,morning,3.75
2023-01-01,Jan,2023-Jan,Sun,1,3,3,Brazilian Rg,Organic brewed coffee,Coffee,Lower Manhattan,morning,9.00
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Brazilian Lg,Organic brewed coffee,Coffee,Lower Manhattan,morning,7.00
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Columbian Medium Roast Rg,Gourmet brewed coffee,Coffee,Lower Manhattan,morning,5.00
2023-01-01,Jan,2023-Jan,Sun,1,5,5,Morning Sunrise Chai Rg,Brewed Chai tea,Tea,Hell's Kitchen,morning,15.00
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Morning Sunrise Chai Lg,Brewed Chai tea,Tea,Lower Manhattan,morning,4.00
2023-01-01,Jan,2023-Jan,Sun,1,3,3,Peppermint Lg,Brewed herbal tea,Tea,Hell's Kitchen,morning,12.00
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Our Old Time Diner Blend Lg,Drip coffee,Coffee,Hell's Kitchen,morning,6.00
2023-01-01,Jan,2023-Jan,Sun,1,3,3,Sustainably Grown Organic Rg,Hot chocolate,Drinking Chocolate,Lower Manhattan,morning,18.75
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Scottish Cream Scone ,Scone,Bakery,Lower Manhattan,morning,4.50
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Peppermint Rg,Brewed herbal tea,Tea,Lower Manhattan,morning,2.50
2023-01-01,Jan,2023-Jan,Sun,1,1,1,English Breakfast Rg,Brewed Black tea,Tea,Lower Manhattan,morning,2.50
2023-01-01,Jan,2023-Jan,Sun,1,3,3,Our Old Time Diner Blend Rg,Drip coffee,Coffee,Hell's Kitchen,morning,10.00
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Serenity Green Tea Rg,Brewed Green tea,Tea,Hell's Kitchen,morning,2.50
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Ethiopia Rg,Gourmet brewed coffee,Coffee,Hell's Kitchen,morning,9.00
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Brazilian Sm,Organic brewed coffee,Coffee,Lower Manhattan,morning,8.80
2023-01-01,Jan,2023-Jan,Sun,1,3,3,Latte,Barista Espresso,Coffee,Lower Manhattan,morning,11.25
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Jamaican Coffee River Sm,Premium brewed coffee,Coffee,Lower Manhattan,morning,2.45
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Jamaican Coffee River Lg,Premium brewed coffee,Coffee,Hell's Kitchen,morning,15.00
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Ginger Biscotti,Biscotti,Bakery,Hell's Kitchen,morning,3.50
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Traditional Blend Chai Lg,Brewed Chai tea,Tea,Hell's Kitchen,morning,3.00
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Cappuccino Lg,Barista Espresso,Coffee,Hell's Kitchen,morning,17.00
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Cappuccino Lg,Barista Espresso,Coffee,Lower Manhattan,morning,4.25
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Morning Sunrise Chai Rg,Brewed Chai tea,Tea,Lower Manhattan,morning,10.00
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Our Old Time Diner Blend Lg,Drip coffee,Coffee,Lower Manhattan,morning,3.00
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Espresso shot,Barista Espresso,Coffee,Lower Manhattan,morning,12.00
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Earl Grey Rg,Brewed Black tea,Tea,Lower Manhattan,morning,2.50
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Serenity Green Tea Lg,Brewed Green tea,Tea,Hell's Kitchen,morning,9.00
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Ginger Scone,Scone,Bakery,Hell's Kitchen,morning,6.50
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Jamaican Coffee River Rg,Premium brewed coffee,Coffee,Hell's Kitchen,morning,9.30
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Our Old Time Diner Blend Rg,Drip coffee,Coffee,Lower Manhattan,morning,7.50
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Our Old Time Diner Blend Sm,Drip coffee,Coffee,Hell's Kitchen,morning,2.00
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Ginger Biscotti,Biscotti,Bakery,Lower Manhattan,morning,3.50
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Jamaican Coffee River Rg,Premium brewed coffee,Coffee,Lower Manhattan,morning,3.10
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Cranberry Scone,Scone,Bakery,Lower Manhattan,morning,3.25
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Sustainably Grown Organic Rg,Hot chocolate,Drinking Chocolate,Hell's Kitchen,morning,3.75
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Jamaican Coffee River Lg,Premium brewed coffee,Coffee,Lower Manhattan,morning,7.50
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Earl Grey Lg,Brewed Black tea,Tea,Hell's Kitchen,morning,12.00
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Sustainably Grown Organic Lg,Hot chocolate,Drinking Chocolate,Lower Manhattan,morning,9.50
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Almond Croissant,Pastry,Bakery,Hell's Kitchen,morning,3.75
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Our Old Time Diner Blend Sm,Drip coffee,Coffee,Astoria,morning,2.00
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Latte,Barista Espresso,Coffee,Astoria,morning,3.75
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Croissant,Pastry,Bakery,Astoria,morning,3.50
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Croissant,Pastry,Bakery,Lower Manhattan,morning,7.00
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Latte Rg,Barista Espresso,Coffee,Hell's Kitchen,morning,8.50
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Dark chocolate Lg,Hot chocolate,Drinking Chocolate,Astoria,morning,9.00
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Serenity Green Tea Lg,Brewed Green tea,Tea,Astoria,morning,3.00
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Jumbo Savory Scone,Scone,Bakery,Astoria,morning,7.50
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Serenity Green Tea Rg,Brewed Green tea,Tea,Astoria,morning,2.50
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Lemon Grass Lg,Brewed herbal tea,Tea,Astoria,morning,3.00
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Peppermint Lg,Brewed herbal tea,Tea,Astoria,morning,6.00
2023-01-01,Jan,2023-Jan,Sun,1,2,2,Sustainably Grown Organic Rg,Hot chocolate,Drinking Chocolate,Astoria,morning,11.25
2023-01-01,Jan,2023-Jan,Sun,1,1,1,Ethiopia Sm,Gourmet brewed coffee,Coffee,Hell's Kitchen,morning,2.20
2023-01-01,Jan,2023-Jan,Sun,1,1,1,English Breakfast Lg,Brewed Black tea,Tea,Astoria,morning,6.00
